"HHINCOME","FAMSIZE","NCHILD","YNGCH","SEX","AGE","MARST","RACE","RACED","SPEAKENG","RACWHT","EDUC","EDUCD","EMPSTAT","EMPSTATD","CLASSWKR","CLASSWKRD","OCC","WKSWORK1","UHRSWORK","WORKEDYR","INCWAGE","OCCSCORE","VETDISAB","PWSTATE2","PWCOUNTY"
50000,8,6,1,1,31,1,1,100,3,2,8,81,1,10,2,22,1541,52,40,3,50000,34,1,39,61
100000,2,0,99,1,34,4,6,610,4,1,11,114,1,10,2,22,1108,52,40,3,100000,33,0,39,61
144500,2,0,99,2,30,1,1,100,3,2,10,101,1,10,2,22,630,52,55,3,80000,43,0,39,165
136400,4,2,7,2,35,1,1,100,3,2,10,101,1,10,2,22,3255,52,55,3,66000,21,0,39,17
119000,2,0,99,2,25,6,1,100,3,2,10,101,1,10,2,22,5240,52,40,3,60000,25,0,39,61
119000,2,0,99,1,26,6,1,100,3,2,10,101,1,10,2,22,845,52,40,3,59000,42,0,39,61
89500,5,3,1,1,32,1,1,100,3,2,7,71,1,10,2,22,7315,52,40,3,49500,30,0,39,61
150200,4,0,99,1,26,6,1,100,3,2,10,101,1,10,2,22,800,52,55,3,28000,38,0,39,61
115000,2,0,99,2,32,1,1,100,3,2,11,114,1,10,2,22,710,52,40,3,75000,45,0,39,61
104000,2,0,99,2,28,1,1,100,3,2,10,101,1,10,2,23,51,52,40,3,44000,42,0,39,61
104000,2,0,99,1,27,1,1,100,3,2,10,101,1,10,2,22,565,52,40,3,60000,37,0,39,61
92100,2,0,99,1,34,1,1,100,3,2,4,40,1,10,2,22,9130,52,40,3,24200,25,4,39,61
115050,3,1,0,1,27,1,1,100,3,2,10,101,1,10,2,23,420,52,60,3,85000,42,0,39,61
67000,1,0,99,2,35,6,1,100,3,2,11,114,1,10,2,22,2004,52,40,3,67000,33,0,39,61
82500,2,0,99,2,28,6,1,100,3,2,7,71,1,10,2,22,4840,52,42,3,32500,24,0,39,0
80010,4,2,4,1,31,1,1,100,3,2,7,71,1,10,2,22,5610,52,50,3,40000,26,0,39,61
71500,1,0,99,2,31,6,1,100,3,2,10,101,1,10,2,25,1021,52,55,3,70000,33,0,39,61
50000,1,0,99,2,25,6,1,100,3,2,10,101,1,10,2,22,2640,52,35,3,25000,38,0,39,61
126000,4,2,12,2,34,6,9,901,3,2,11,114,1,10,2,23,2006,52,40,3,38000,33,0,39,61
392000,3,1,13,2,27,6,1,100,3,2,7,71,1,10,2,22,5000,49,40,3,20000,42,0,39,0
128000,1,0,99,1,26,6,1,100,3,2,6,63,1,10,2,22,9600,52,40,3,26000,23,0,39,61
51530,3,0,99,2,26,6,1,100,3,2,11,116,1,10,2,22,3050,40,40,3,40800,40,0,39,61
45000,1,0,99,1,25,6,1,100,3,2,10,101,1,10,2,22,110,52,40,3,45000,42,0,39,61
173000,2,0,99,1,27,1,1,100,3,2,11,114,1,10,2,22,1021,52,60,3,158000,33,0,39,61
156300,2,0,99,1,27,1,1,100,3,2,10,101,1,10,2,22,2100,52,40,3,55000,62,0,39,61
156300,2,0,99,2,26,1,1,100,3,2,10,101,1,10,2,23,1105,52,40,3,70000,33,0,39,61
125100,2,0,99,1,31,1,1,100,3,2,6,63,1,10,2,22,6250,40,50,3,57000,27,0,39,61
105000,3,1,7,2,29,6,1,100,3,2,7,71,1,10,2,23,630,52,40,3,30000,43,0,39,61
54000,3,1,0,2,33,6,1,100,3,2,10,101,1,10,2,22,2004,52,20,3,26000,33,0,39,61
145600,2,0,99,1,31,1,1,100,3,2,11,114,1,10,2,22,1006,52,40,3,60000,33,0,39,61
145600,2,0,99,2,31,1,1,100,3,2,10,101,1,10,2,22,630,52,40,3,83000,43,0,39,61
106000,3,1,1,1,32,1,1,100,3,2,7,71,1,10,2,22,120,52,40,3,60000,42,0,39,61
106000,3,1,1,2,28,1,6,620,4,1,7,71,1,10,2,22,5100,52,40,3,46000,26,0,39,61
102000,3,1,0,1,26,1,1,100,3,2,10,101,1,10,2,22,20,52,45,3,82000,42,0,39,0
138000,4,2,2,1,29,1,1,100,3,2,8,81,1,10,2,22,6442,52,40,3,75000,33,0,39,61
55900,3,1,1,1,31,1,1,100,3,2,11,114,1,10,2,22,630,24,40,3,30000,43,0,39,61
52000,1,0,99,1,28,6,1,100,3,2,10,101,1,10,2,22,1360,48,40,3,52000,46,0,39,61
60000,2,0,99,1,27,1,1,100,3,2,11,114,1,10,2,22,800,52,85,3,55000,38,0,39,61
11000,2,1,6,2,34,6,1,100,3,2,10,101,1,10,1,13,6260,52,15,3,0,20,0,39,61
61000,2,0,99,2,25,6,1,100,4,2,10,101,1,10,2,22,5165,52,40,3,50000,26,0,39,61
61000,2,0,99,1,25,6,1,100,3,2,10,101,1,10,2,28,5320,52,20,3,11000,13,0,39,61
97000,3,1,0,2,30,1,1,100,3,2,10,101,1,10,2,28,51,49,40,3,45000,42,0,39,61
44000,1,0,99,2,28,6,1,100,3,2,7,71,1,10,2,28,5400,52,40,3,11000,25,0,39,0
208000,4,2,1,2,34,1,1,100,3,2,11,114,1,10,2,22,110,43,40,3,85000,42,0,39,61
88500,5,1,10,1,30,1,1,100,3,2,6,65,1,10,2,22,9645,52,40,3,20600,25,0,39,0
88500,5,1,10,2,30,1,1,100,3,2,7,71,1,10,2,22,3603,52,60,3,35000,16,0,39,0
52000,1,0,99,1,32,4,6,620,3,1,7,71,1,10,2,23,2721,52,40,3,52000,32,0,39,61
250000,4,2,1,1,35,1,8,814,3,2,10,101,1,10,2,22,4810,52,50,3,135000,36,0,39,61
129000,4,2,3,1,32,1,1,100,3,2,10,101,1,10,2,22,140,52,50,3,99000,42,0,39,0
129000,4,2,3,2,31,1,1,100,3,2,10,101,1,10,2,23,2300,52,30,3,30000,27,0,39,61
44000,1,0,99,1,31,6,1,100,3,2,6,61,1,10,2,22,220,52,40,3,44000,42,0,39,0
173500,6,0,99,2,25,2,1,100,3,2,8,81,1,10,2,22,4830,51,25,3,15000,35,0,39,61
97000,4,2,2,2,30,1,1,100,3,2,10,101,1,10,2,23,3255,52,36,3,50000,21,0,39,61
102000,1,0,99,1,33,6,1,100,3,2,11,114,1,10,2,22,1320,52,44,3,102000,48,0,39,61
180000,6,4,10,2,34,1,1,100,3,2,10,101,1,10,2,23,2006,52,45,3,50000,33,0,39,61
70020,1,0,99,1,35,6,1,100,3,2,11,114,1,10,2,23,2752,52,40,3,70000,20,0,39,61
85000,1,0,99,1,30,6,1,100,3,2,6,65,1,10,2,22,8140,52,12,3,35000,31,0,39,17
184200,3,0,99,1,33,6,1,100,3,2,8,81,1,10,2,22,7140,52,45,3,88000,34,0,39,61
32000,2,1,10,2,34,4,1,100,4,2,10,101,1,10,2,22,5600,52,40,3,32000,25,0,39,61
100500,1,0,99,2,32,6,1,100,1,2,10,101,1,10,2,22,1350,52,42,3,100000,49,0,39,61
256000,5,1,0,1,30,1,1,100,3,2,6,65,1,10,2,22,220,44,40,3,60000,42,0,39,17
75000,2,0,99,1,34,6,1,100,3,2,7,71,1,10,2,22,7140,52,39,3,40000,34,1,39,0
154000,1,0,99,1,34,6,1,100,3,2,7,71,1,10,2,22,4700,52,50,3,154000,42,0,39,0
99500,3,1,3,1,32,1,1,100,3,2,7,71,1,10,2,22,7315,52,40,3,49500,30,0,39,17
22000,1,0,99,1,29,6,1,100,3,2,6,61,1,10,2,22,4020,52,38,3,22000,16,0,39,61
164000,4,2,4,2,33,1,1,100,3,2,11,114,1,10,2,23,60,52,40,3,78000,39,0,39,61
70000,1,0,99,2,29,6,1,100,3,2,10,101,1,10,2,22,440,52,40,3,70000,42,0,39,61
98100,4,2,2,2,32,1,1,100,3,2,8,81,1,10,2,25,700,52,40,3,40000,33,0,39,61
100000,4,2,2,1,28,1,1,100,3,2,6,65,1,10,2,22,9240,52,40,3,60000,43,0,39,0
123500,4,2,2,1,34,1,1,100,3,2,10,101,1,10,2,22,530,52,40,3,65000,42,0,39,61
866000,4,2,2,1,35,1,1,100,3,2,11,115,1,10,2,28,3090,52,60,3,398000,80,0,39,61
